Start	Stop	Strand	Number of Genes	Genes
3486120	3488893	+	2	crp, yhfK
3490266	3491620	-	3	pabA, fic, yhfG
3494011	3496877	+	2	nirB, nirD
3497003	3499201	+	2	nirC, cysG
3499910	3502290	+	2	frlA, frlB
3502340	3503952	+	2	frlC, frlD
3504935	3510976	-	6	yhfS, yhfT, yhfU, php, yhfW, yhfX
3511060	3512344	-	2	yhfY, yhfZ
3512634	3515913	-	4	trpS, gph, rpe, dam
3519465	3522751	-	5	hofQ, hofP, hofO, hofN, hofM
3528669	3530652	+	3	yrfG, hslR, hslO
3534516	3536584	-	2	envZ, ompR
3540163	3542964	+	3	feoA, feoB, feoC
3547986	3552473	-	2	malQ, malP
3555833	3558079	-	2	rtcA, rtcB
3564134	3573502	-	5	glgP, glgA, glgC, glgX, glgB
3575721	3577592	-	2	gntU, gntK
3583483	3584180	+	2	insA, insB1
3587370	3590911	-	4	ugpQ, ugpC, ugpE, ugpA
3592724	3596403	-	4	livF, livG, livM, livH
3601028	3604243	-	3	ftsX, ftsE, ftsY
3604393	3605248	+	2	rsmD, yhhL
3613667	3618989	+	6	nikA, nikB, nikC, nikD, nikE, nikR
3619192	3623782	+	2	rhsB, yhhH
3625679	3630602	-	3	yhhJ, rbbA, yhiI
3642380	3645182	-	2	rsmJ, prlC
3648935	3650662	+	2	arsB, arsC
3659232	3663527	+	2	mdtE, mdtF
3685700	3695236	-	4	bcsC, bcsZ, bcsB, bcsA
3696458	3699893	+	3	bcsE, bcsF, bcsG
3701864	3705790	-	4	dppF, dppD, dppC, dppB
3713092	3714092	+	2	tag, yiaC
3720680	3722049	+	2	insJ, insK
3722328	3725318	-	2	glyS, glyQ
3732201	3734901	+	2	xylG, xylH
3742733	3744210	+	2	yiaK, yiaL
3744328	3750781	+	7	yiaM, yiaN, yiaO, lyxK, sgbH, sgbU, sgbE
3752963	3754428	-	2	yiaV, yiaW
3758017	3761249	-	2	selB, selA
3762183	3767179	+	2	rhsA, yibA
3770243	3771744	-	2	yibH, yibI
3774424	3776159	+	2	mtlD, mtlR
3777399	3781017	+	3	lldP, lldR, lldD
3782642	3784128	-	2	gpsA, secB
3785260	3789060	+	3	gpmM, envC, yibQ
3790320	3792551	-	2	tdh, kbl
3793987	3798207	+	4	hldD, waaF, waaC, waaL
3798239	3800196	-	2	waaU, waaZ
3800267	3804137	-	4	waaY, waaR, waaO, waaB
3804181	3808098	-	4	waaS, waaP, waaG, waaQ
3808540	3810304	+	2	waaA, coaD
3811250	3811674	-	2	rpmG, rpmB
3812731	3814387	+	2	dfp, dut
3822106	3827291	+	4	rpoZ, spoT, trmH, recG
3832219	3835929	-	2	yicI, yicJ
3847305	3850726	-	3	uhpC, uhpB, uhpA
3850802	3852784	-	2	ilvN, ilvB
3855114	3856307	-	3	yidF, yidG, yidH
3856911	3860116	-	2	yidJ, yidK
3871850	3875160	-	4	dgoD, dgoA, dgoK, dgoR
3877705	3883729	-	4	gyrB, recF, dnaN, dnaA
3884336	3886722	+	4	rpmH, rnpA, yidD, yidC
3891615	3893724	+	2	mdtL, yidZ
3893881	3895218	+	2	yieE, chrR
3898671	3902220	-	3	yieK, yieL, bglH
3902289	3905597	-	2	bglB, bglF
3906853	3908366	-	2	phoU, pstB
3908549	3910398	-	2	pstA, pstC
3915553	3918265	-	3	atpC, atpD, atpG
3918316	3920888	-	3	atpA, atpH, atpF
3921236	3922440	-	2	atpB, atpI
3928152	3931093	-	2	viaA, ravA
3933351	3937168	+	4	rbsD, rbsA, rbsC, rbsB
3937294	3939219	+	2	rbsK, rbsR
3939185	3941327	-	2	hsrA, yieP
3952201	3953413	+	2	ilvM, ilvE
3953478	3956875	+	2	ilvD, ilvA
3967916	3970077	+	2	wecA, wzzE
3970133	3980696	+	10	wecB, wecC, rffG, rffH, wecD, wecE, wzxE, wecF, wzyE, wecG
3986686	3990766	-	4	hemY, hemX, hemD, hemC
3994522	3997899	+	5	yifL, dapF, yigA, xerC, yigB
4002419	4003193	-	2	yigF, yigG
4009170	4011000	+	2	pldB, yigL
4018855	4021866	+	3	ubiE, ubiJ, ubiB
4021945	4023512	+	3	tatA, tatB, tatC
4027609	4030971	-	2	fadA, fadB
4031161	4035153	+	4	pepQ, yigZ, trkH, hemG
4040906	4041999	-	2	mobB, mobA
4042415	4044044	+	2	srkA, dsbA
4053869	4056339	-	2	glnG, glnL
4060447	4062145	+	2	yihL, yihM
4070515	4073571	-	3	yihS, yihT, yihU
4073739	4075454	+	2	yihV, yihW
4075553	4078438	+	4	yihX, yihY, dtd, yiiD
4080299	4085822	-	4	fdhE, fdoI, fdoH, fdoG
4088107	4092823	-	4	frvR, frvX, frvB, frvA
4093124	4094272	-	2	rhaM, rhaD
4094723	4097448	-	2	rhaA, rhaB
4103602	4105670	-	2	cpxA, cpxR
4112967	4113721	+	2	yiiS, uspD
4115714	4118090	-	2	glpK, glpF
4120416	4122287	-	2	hslU, hslV
4128672	4132267	+	2	metB, metL
4137932	4142221	-	3	gldA, fsaB, frwA
4142530	4143944	+	2	frwC, frwB
4143995	4147479	+	3	pflD, pflC, frwD
4155001	4156789	+	2	argC, argB
4161124	4162130	+	2	fabR, yijD
4163639	4166285	+	2	btuB, murI
4172057	4174047	+	2	murB, birA
4177358	4178288	+	2	secE, nusG
4178447	4179583	+	2	rplK, rplA
4190735	4196099	-	6	thiH, thiG, thiS, thiF, thiE, thiC
4196903	4199461	+	3	nudC, hemE, nfi
4200281	4201261	+	2	hupA, yjaH
4201926	4204645	+	2	zraS, zraR
4204642	4207532	-	2	purD, purH
4215478	4218413	+	2	aceB, aceA
4236262	4239730	+	3	yjbF, yjbG, yjbH
4242626	4245075	-	2	malG, malF
4252506	4253888	+	2	ubiC, ubiA
4257115	4259121	+	2	lexA, dinF
4260321	4261306	+	2	yjbL, yjbM
4270238	4271014	+	2	yjbQ, yjbR
4283253	4285213	-	2	actP, yjcH
4289245	4291432	+	3	nrfB, nrfC, nrfD
4291512	4294139	+	3	nrfE, nrfF, nrfG
4299564	4304403	-	4	mdtP, mdtO, mdtN, ytcA
4306870	4310980	-	4	alsK, alsE, alsC, alsA
4314344	4317895	-	5	phnP, phnO, phnN, phnM, phnL
4318006	4322422	-	6	phnK, phnJ, phnI, phnH, phnG, phnF
4323336	4325165	-	2	phnD, phnC
4327135	4330238	+	2	crfC, yjcZ
4332181	4335590	-	3	basS, basR, eptA
4349315	4351662	-	2	dcuR, dcuS
4351843	4352357	+	2	yjdI, yjdJ
4352584	4353081	+	2	ghoS, ghoT
4362733	4365356	-	3	yjdC, dsbD, cutA
4379007	4382318	-	4	frdD, frdC, frdB, frdA
4385393	4386018	+	2	yjeN, yjeO
4386047	4390360	-	2	mscM, psd
4394066	4400202	+	5	nnr, tsaE, amiB, mutL, miaA
4402038	4404304	+	2	hflK, hflC
4406190	4409095	+	2	nsrR, rnr
4410133	4411251	+	2	yjfI, yjfJ
4411302	4414191	+	4	yjfK, yjfL, yjfM, yjfC
4419980	4424386	+	6	ulaA, ulaB, ulaC, ulaD, ulaE, ulaF
4425118	4426066	+	3	rpsF, priB, rpsR
4442382	4448235	+	3	tamA, tamB, ytfP
4448447	4449042	+	2	chpS, chpB
4451058	4454578	+	3	ytfR, ytfT, yjfF
4470986	4472533	-	3	pyrI, pyrB, pyrL
4480982	4484280	-	2	valS, holC
4486218	4488400	+	2	lptF, lptG
4492587	4494406	-	2	idnO, idnD
4498272	4499500	+	2	insC1, insD1
4504058	4506405	+	2	yjhB, yjhC
4510690	4514308	-	4	fecE, fecD, fecC, fecB
4516764	4518235	-	2	fecR, fecI
4522127	4525803	-	3	yjhG, yjhH, yjhI
4526106	4527980	-	3	sgcR, sgcE, sgcA
4528111	4531651	-	4	sgcQ, sgcC, sgcB, sgcX
4533239	4534053	-	2	yjhQ, yjhX
4537659	4539501	-	2	nanM, nanC
4543728	4545029	+	2	fimI, fimC
4545096	4549710	+	4	fimD, fimF, fimG, fimH
4558354	4560680	-	3	iadA, yjiG, yjiH
4563922	4565850	-	2	yjiL, yjiM
4576912	4579337	-	2	mcrC, mcrB
4580068	4583048	-	2	hsdS, hsdM
4587909	4589079	-	2	yjiA, yjiX
4600238	4601517	-	2	dnaC, dnaT
4601624	4602858	-	2	yjjB, yjjP
4603477	4604837	+	2	yjjQ, bglJ
4607803	4609323	+	3	holD, rimI, yjjG
4612411	4614260	+	2	yjjU, yjjV
4614680	4617065	-	2	yjjW, yjjI
4623101	4624789	-	2	lplA, ytjB
4625912	4628547	+	2	radA, nadR
4635521	4638120	+	3	creA, creB, creC
