Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1
	1206913	1207497		+	ymfQ	b1153	-	4
	1207501	1208130		+	stfP	b1154	-	2
	1208132	1208545		+	tfaP	b1155	-	3
	1209119	1208517		-	tfaE	b1156	-	2
	1209685	1210239		+	pinE	b1158	-	8
	1210346	1211179		+	mcrA	b1159	-	3
	1212003	1211680		-	iraM	b1160	-	0
	1213107	1212703		-	ycgX	b1161	-	0
	1214059	1213328		-	bluR	b1162	-	21
	1215475	1214264		-	bluF	b1163	-	1
	1215789	1216025		+	ycgZ	b1164	-	10
	1216068	1216340		+	ymgA	b1165	-	0
	1216369	1216635		+	ariR	b1166	-	0
	1216748	1216996		+	ymgC	b1167	-	0
	1217328	1218851		+	ycgG	b1168	-	0
	1218983	1219201		+	ymgF	b4520	-	0
	1222634	1222305		-	ymgD	b1171	-	59
	1222988	1222644		-	ymgG	b1172	-	70
	1223163	1222990		-	ymgI	b4593	-	31
	1223264	1223449		+	ymgJ	b4594	-	0
	1224545	1224279		-	minE	b1174	-	112
1225370	1225361	1224549	1224546	-	minD	b1175	-	287
	1226080	1225385		-	minC	b1176	-	139
	1226600	1226968		+	ycgJ	b1177	-	3
	1227472	1227071		-	pliG	b1178	-	31
	1227714	1228007		+	ycgL	b1179	-	63
	1228079	1228738		+	ycgM	b1180	-	117
	1228815	1229276		+	ycgN	b1181	-	29
	1230394	1229483		-	hlyE	b1182	-	2
	1230767	1231186		+	umuD	b1183	-	9
	1231186	1232454		+	umuC	b1184	-	11
	1233030	1232500		-	dsbB	b1185	-	81
	1234717	1233176		-	nhaB	b1186	-	60
	1234938	1235657		+	fadR	b1187	-	60
	1237241	1235709		-	ycgB	b1188	-	14
	1237571	1238869		+	dadA	b1189	-	41
	1238879	1239949		+	dadX	b1190	-	22
	1242071	1240335		-	cvrA	b1191	-	34
	1243080	1242166		-	ldcA	b1192	-	32
	1243180	1243791		+	emtA	b1193	-	85
	1244527	1243793		-	ycgR	b1194	-	13
	1244728	1244982		+	ymgE	b1195	-	9
	1245160	1245600		+	ycgY	b1196	-	5
	1247376	1245679		-	treA	b1197	-	11
	1249114	1247696		-	dhaM	b1198	-	105
	1249757	1249125		-	dhaL	b1199	-	133
	1250838	1249768		-	dhaK	b1200	-	82
	1251066	1252985		+	dhaR	b1201	-	14
	1255952	1253085		-	ycgV	b1202	-	13
	1257812	1256721		-	ychF	b1203	-	141
	1258513	1257929		-	pth	b1204	-	49
	1258791	1259069		+	ychH	b1205	-	44
	1260803	1259124		-	dauA	b1206	-	67
1261945	1261875	1260928	1260928	-	prs	b1207	-	955
1261026			1261041	+	-	predicted RNA	antisense: prs	1969
1261203			1261226	+	-	predicted RNA	antisense: prs	1882
1261314			1261347	+	-	predicted RNA	antisense: prs	1984
1261607			1261641	+	-	predicted RNA	antisense: prs	2258
1261695			1261724	+	-	predicted RNA	antisense: prs	1866
1261810			1261863	+	-	predicted RNA	antisense: prs	2169
1261918			1261970	+	-	predicted RNA	-	2169
	1262877	1262026	1261968	-	ispE	b1208	-	336
	1263500	1262877		-	lolB	b1209	-	100
	1263714	1264970		+	hemA	b1210	-	87
	1265012	1266094		+	prfA	b1211	-	81
	1266094	1266927		+	prmC	b1212	-	30
	1266924	1267316		+	ychQ	b1213	-	64
	1267320	1268129		+	ychA	b1214	-	76
1268135	1268165	1269019	1269019	+	kdsA	b1215	-	310
	1269275	1269168		-	ldrA	b4419	-	43
1269323			1269389	+	rdlA	b4420	-	0
	1269810	1269703		-	ldrB	b4421	-	1
1269858			1269923	+	rdlB	b4422	-	0
	1270345	1270238		-	ldrC	b4423	-	0
1270393			1270460	+	rdlC	b4424	-	0
	1271849	1270749		-	chaA	b1216	-	12
	1272119	1272349		+	chaB	b1217	-	40
	1272507	1273202		+	chaC	b1218	-	54
	1273599	1273246		-	ychN	b1219	-	136
	1273784	1275178		+	ychO	b1220	-	26
	1275829	1275179		-	narL	b1221	-	115
	1277618	1275822		-	narX	b1222	-	24
	1277957	1279348		+	narK	b1223	-	64
1279862	1279864	1283607		+	narG	b1224	-	310
	1283604	1285142		+	narH	b1225	-	261
	1285139	1285849		+	narJ	b1226	-	222
	1285849	1286526	1286526	+	narI	b1227	-	312
1287236			1287066	-	rttR	b4425	-	0
	1287176	1287087		-	tpr	b1229	-	0
1287328			1287244	-	tyrV	b1230	-	107
1287622			1287538	-	tyrT	b1231	-	260
1288624	1288624	1287782	1287782	-	purU	b1232	-	248
	1289132	1288674		-	ychJ	b1233	-	85
	1289245	1290150		+	rssA	b1234	-	75
	1290242	1291255		+	rssB	b1235	-	40
1291446	1291457	1292365	1292365	+	galU	b1236	-	284
1292942	1292922	1292509	1292509	-	hns	b1237	-	404
	1293527	1294144		+	tdk	b1238	-	33
1295407			1296100	+	-	predicted RNA	antisense: adhE	3147
1298135	1298121	1295446	1295446	-	adhE	b1241	-	2760
1296159			1296815	+	-	predicted RNA	antisense: adhE	3768
1296881			1297019	+	-	predicted RNA	antisense: adhE	2492
1297097			1297807	+	-	predicted RNA	antisense: adhE	2466
1297887			1297919	+	-	predicted RNA	antisense: adhE	2134
	1298598	1299245		+	ychE	b1242	-	12
1300969	1301182	1302813	1302813	+	oppA	b1243	-	2783
1302107			1301244	-	-	predicted RNA	antisense: oppA	3029
1302876			1302162	-	-	predicted RNA	antisense: oppA	3089
1302814	1302899	1303819	1303821	+	oppB	b1244	-	851
1303614			1303588	-	-	predicted RNA	antisense: oppB	2004
1303822	1303834	1304742	1304744	+	oppC	b1245	-	1573
1304015			1303987	-	-	predicted RNA	antisense: oppC	2062
1304273			1304238	-	-	predicted RNA	antisense: oppC	2031
1304599			1304347	-	-	predicted RNA	antisense: oppC	1754
1304745	1304754	1305767		+	oppD	b1246	-	1174
1304830			1304769	-	-	predicted RNA	antisense: oppD	2635
1304934			1304907	-	-	predicted RNA	antisense: oppD	1831
1305340			1305302	-	-	predicted RNA	antisense: oppD	2066
	1305764	1306768	1306768	+	oppF	b1247	-	912
1306085			1306010	-	-	predicted RNA	antisense: oppF	2077
1306186			1306157	-	-	predicted RNA	antisense: oppF	1831
1306315			1306280	-	-	predicted RNA	antisense: oppF	1887
	1307150	1306821		-	yciU	b1248	-	102
	1308645	1307185		-	clsA	b1249	-	119
	1308788	1308961		+	yciY	b4595	-	11
	1310269	1309016		-	kch	b1250	-	14
	1310865	1310569		-	yciI	b1251	-	118
	1311089	1311808		+	tonB	b1252	-	21
	1312246	1311848		-	yciA	b1253	-	29
	1312890	1312351		-	yciB	b1254	-	54
	1313663	1312920		-	yciC	b1255	-	81
	1314020	1314658		+	ompW	b1256	-	15
	1315224	1314718		-	yciE	b1257	-	5
	1315770	1315270		-	yciF	b1258	-	10
	1316035	1315856		-	yciG	b1259	-	0
	1317222	1316416	1316416	-	trpA	b1260	-	249
1318415	1318415	1317222		-	trpB	b1261	-	354
	1319788	1318427	1318427	-	trpC	b1262	-	250
	1321384	1319789		-	trpD	b1263	-	208
	1322946	1321384		-	trpE	b1264	-	174
	1323082	1323038		-	trpL	b1265	-	82
	1323220	1324101		+	yciV	b1266	-	43
	1324098	1324718		+	yciO	b1267	-	64
	1324746	1326641		+	yciQ	b1268	-	9
1326830	1326852	1327727	1327727	+	rluB	b1269	-	229
	1328357	1327767		-	btuR	b1270	-	33
	1329112	1328354		-	yciK	b1271	-	89
	1329332	1330381		+	sohB	b1272	-	168
	1330668	1330417		-	yciN	b1273	-	32
	1331048	1333645		+	topA	b1274	-	145
	1333855	1334829		+	cysB	b1275	-	79
	1335124	1335288		+	ymiA	b4522	-	121
	1335291	1335458		+	yciX	b4523	-	23
	1335831	1338506		+	acnA	b1276	-	26
	1339160	1338570		-	ribA	b1277	-	104
	1339330	1340094		+	pgpB	b1278	-	29
	1340243	1340551		+	yciS	b1279	-	106
	1340558	1341727		+	yciM	b1280	-	66
1341885	1341921	1342658		+	pyrF	b1281	-	230
	1342658	1342984		+	yciH	b1282	-	32
	1343328	1343110		-	osmB	b1283	-	36
	1344346	1343597		-	yciT	b1284	-	50
	1344609	1344436		-	yciZ	b4596	-	61
	1346742	1344757		-	gmr	b1285	-	11
	1346796	1346900		+	ymiB	b4672	-	0
1348925	1348912	1346978	1346978	-	rnb	b1286	-	289
	1350107	1348980		-	yciW	b1287	-	74
1351105	1351039	1350251	1350251	-	fabI	b1288	-	526
	1351760	1351407		-	ycjD	b1289	-	15
	1352634	1351828		-	sapF	b1290	-	35
	1353628	1352636		-	sapD	b1291	-	57
	1354518	1353628		-	sapC	b1292	-	49
	1355470	1354505		-	sapB	b1293	-	36
	1357110	1355467		-	sapA	b1294	-	34
	1357668	1357423		-	ymjA	b1295	-	34
	1359187	1357802		-	puuP	b1296	-	4
	1360908	1359490		-	puuA	b1297	-	8
	1361120	1361884		+	puuD	b1298	-	13
	1361911	1362468		+	puuR	b1299	-	16
	1362743	1364230		+	puuC	b1300	-	4
	1364232	1365512		+	puuB	b1301	-	7
	1365550	1366815		+	puuE	b1302	-	2
	1367912	1366935		-	pspF	b1303	-	24
	1368079	1368747		+	pspA	b1304	-	52
	1368801	1369025		+	pspB	b1305	-	26
	1369025	1369384		+	pspC	b1306	-	31
	1369393	1369614		+	pspD	b1307	-	19
	1369689	1370003		+	pspE	b1308	-	28
	1370216	1371895		+	ycjM	b1309	-	0
	1371909	1373201		+	ycjN	b1310	-	2
	1373222	1374103		+	ycjO	b1311	-	2
	1374090	1374932		+	ycjP	b1312	-	1
	1374963	1376015		+	ycjQ	b1313	-	8
	1376034	1376822		+	ycjR	b1314	-	2
	1376832	1377887		+	ycjS	b1315	-	1
	1377884	1380151		+	ycjT	b1316	-	4
	1380148	1380807		+	ycjU	b1317	-	2
	1381947	1382852		+	ompG	b1319	-	1
	1383961	1382963		-	ycjW	b1320	-	4
	1384117	1385514		+	ycjX	b1321	-	54
	1385511	1386572		+	ycjF	b1322	-	45
	1386720	1388261		+	tyrR	b1323	-	114
1388828	1388811	1388305	1388305	-	tpx	b1324	-	342
	1388930	1389895		+	ycjG	b1325	-	68
	1390598	1389870		-	mpaA	b1326	-	73
	1391853	1390933		-	ycjY	b1327	-	8
	1391991	1392890		+	pgrR	b1328	-	11
	1393227	1394840		+	mppA	b1329	-	39
	1395922	1394891		-	ynaI	b1330	-	24
	1396076	1397092		+	insH1	b1331	-	160
	1397365	1397622		+	ynaJ	b1332	-	39
1398643	1398622	1397672	1397672	-	uspE	b1333	-	262
1399534	1399526	1398774	1398774	-	fnr	b1334	-	202
	1400236	1399721		-	ogt	b1335	-	33
	1401773	1400247		-	abgT	b1336	-	2
	1403255	1401810		-	abgB	b1337	-	0
	1404565	1403255		-	abgA	b1338	-	3
	1404741	1405649		+	abgR	b1339	-	0
1405751			1405656	-	mcaS	b4426	-	3
	1405979	1406542		+	smrA	b1340	-	55
	1407795	1406563		-	ydaM	b1341	-	25
	1408050	1409033		+	ydaN	b1342	-	71
1409129			1409250	+	fnrS	b4699	-	10
	1409511	1410884		+	dbpA	b1343	-	21
	1411948	1411013		-	ttcA	b1344	-	48
	1413235	1412000		-	intR	b1345	-	10
	1413452	1413237		-	ydaQ	b1346	-	0
	1413740	1413531		-	ydaC	b1347	-	0
	1413927	1413733		-	ralR	b1348	-	0
	1414793	1413984		-	recT	b1349	-	0
	1417386	1414786		-	recE	b1350	-	4
	1417763	1417488		-	racC	b1351	-	0
	1418008	1417838		-	ydaE	b4526	-	0
	1418229	1418008		-	kilR	b1352	-	0
	1418671	1419159		+	sieB	b1353	-	4
	1419311	1419156		-	ydaF	b4527	-	8
	1419456	1419322		-	ydaG	b1355	-	0
	1420241	1419765		-	racR	b1356	-	28
	1420365	1420661		+	ydaS	b1357	-	0
	1420684	1421106		+	ydaT	b1358	-	0
	1421119	1421976		+	ydaU	b1359	-	3
	1421983	1422729		+	ydaV	b1360	-	7
	1423400	1423585		+	rzoR	b4528	-	28
	1423782	1425239		+	trkG	b1363	-	5
	1425377	1425640		+	ynaK	b1365	-	10
	1428726	1427746		-	insH1	b1370	-	26
	1429049	1432411		+	stfR	b1372	-	2
	1432411	1432986		+	tfaR	b1373	-	2
	1433674	1433084		-	pinR	b1374	-	0
	1434224	1433991		-	ynaE	b1375	-	0
	1435619	1435185		-	uspF	b1376	-	101
	1436893	1435760		-	ompN	b1377	-	1
1437121			1437229	+	micC	b4427	-	0
	1440784	1437260		-	pfo	b1378	-	41
1441038	1441058	1441324	1441324	+	ydbJ	b4529	-	495
	1441743	1441321		-	hslJ	b1379	-	114
	1442843	1441854		-	ldhA	b1380	-	104
	1443051	1445690		+	ydbH	b1381	-	22
	1445687	1445872		+	ynbE	b1382	-	48
	1445880	1446206		+	ydbL	b1383	-	11
	1447283	1446378		-	feaR	b1384	-	2
	1447519	1449018		+	feaB	b1385	-	16
	1451349	1449076		-	tynA	b1386	-	2
	1453642	1451597		-	paaZ	b1387	-	0
	1453927	1454856		+	paaA	b1388	-	0
	1454868	1455155		+	paaB	b1389	-	4
	1455164	1455910		+	paaC	b1390	-	0
	1455925	1456422		+	paaD	b1391	-	2
	1456430	1457500		+	paaE	b1392	-	8
	1457497	1458264		+	paaF	b1393	-	1
	1458264	1459052		+	paaG	b1394	-	5
	1459054	1460481		+	paaH	b1395	-	6
	1460471	1460893		+	paaI	b1396	-	6
	1460893	1462098		+	paaJ	b1397	-	11
	1462125	1463438		+	paaK	b1398	-	9
	1463539	1464489		+	paaX	b1399	-	36
	1464471	1465061		+	paaY	b1400	-	40
	1465230	1465165		-	ynbG	b4674	-	0
	1468826	1467921		-	insD1	b1402	-	30
	1469149	1468784		-	insC1	b1403	-	22
	1469358	1470509		+	insI1	b1404	-	10
	1474221	1475081		+	ydbC	b1406	-	43
	1475144	1477450		+	ydbD	b1407	-	1
	1477621	1478226		+	ynbA	b1408	-	2
	1478226	1479122		+	ynbB	b1409	-	1
	1479138	1480895		+	ynbC	b1410	-	3
	1480909	1482201		+	ynbD	b1411	-	11
	1482860	1482255		-	azoR	b1412	-	67
	1483061	1486963		+	hrpA	b1413	-	52
	1487235	1488035		+	ydcF	b1414	-	80
	1488232	1489671		+	aldA	b1415	-	11
	1490902	1491432		+	cybB	b1418	-	55
1491506			1491443	-	rydC	b4597	-	35
	1491677	1491850		+	ydcA	b1419	-	130
	1492071	1491922		-	hokB	b4428	-	60
	1492129	1491962		-	mokB	b1420	-	66
1492119			1492174	+	sokB	b4429	-	7
	1492470	1494110		+	trg	b1421	-	6
	1495071	1494148		-	ydcI	b1422	-	1
	1495288	1496631		+	ydcJ	b1423	-	7
	1496856	1498511		+	opgD	b1424	-	50
	1498651	1498875		+	ydcH	b1426	-	2
	1498938	1499477		+	rimL	b1427	-	46
	1500449	1499469		-	ydcK	b1428	-	23
	1500573	1501565		+	tehA	b1429	-	25
	1501562	1502155		+	tehB	b1430	-	50
	1502457	1503125		+	ydcL	b1431	-	39
	1503717	1504865		+	insQ	b1432	-	17
	1506080	1504905		-	ydcO	b1433	-	5
	1506172	1506708		+	ydcN	b1434	-	14
	1506781	1508742		+	ydcP	b1435	-	63
	1509064	1508834		-	yncJ	b1436	-	17
	1509286	1509462		+	hicA	b4532	-	13
	1509508	1509924		+	hicB	b1438	-	19
	1510003	1511409		+	ydcR	b1439	-	19
	1511654	1512799		+	ydcS	b1440	-	7
	1512817	1513830		+	ydcT	b1441	-	9
	1513831	1514772		+	ydcU	b1442	-	5
	1514762	1515556		+	ydcV	b1443	-	3
	1515578	1517002		+	patD	b1444	-	19
	1517194	1517099		-	yncL	b4598	-	10
	1517389	1517562		+	ydcX	b1445	-	0
1517624	1517648	1517881	1517881	+	ydcY	b1446	-	222
	1518331	1517882		-	ydcZ	b1447	-	70
1518853	1518846	1518328		-	mnaT	b1448	-	224
	1519027	1520064		+	curA	b1449	-	56
	1520262	1520927		+	mcbR	b1450	-	0
	1523065	1520963		-	yncD	b1451	-	3
	1523307	1524368		+	yncE	b1452	-	2
	1525980	1524481		-	ansP	b1453	-	13
	1526247	1526864		+	yncG	b1454	-	13
	1526940	1527152		+	yncH	b1455	-	0
	1529922	1530404		+	ydcD	b1457	-	0
	1531816	1532952		+	ydcC	b1460	-	0
	1533052	1533285		+	pptA	b1461	-	28
	1533851	1533282		-	yddH	b1462	-	16
	1534024	1534869		+	nhoA	b1463	-	11
	1535858	1534965		-	yddE	b1464	-	48
	1536617	1535937		-	narV	b1465	-	11
	1537309	1536614		-	narW	b1466	-	13
	1538853	1537309		-	narY	b1467	-	9
	1542590	1538850		-	narZ	b1468	-	7
	1544060	1542672		-	narU	b1469	-	1
	1547169	1546288		-	yddG	b1473	-	16
	1547401	1550448		+	fdnG	b1474	-	5
	1550461	1551345		+	fdnH	b1475	-	4
	1551338	1551991		+	fdnI	b1476	-	7
	1552682	1552398		-	yddM	b1477	-	54
	1553838	1552828		-	adhP	b1478	-	17
	1555669	1553972		-	maeA	b1479	-	102
	1555963	1555826		-	sra	b1480	-	1
	1556280	1556065		-	bdm	b1481	-	6
	1556625	1557056		+	osmC	b1482	-	185
	1558038	1557112		-	ddpF	b1483	-	13
	1559017	1558031		-	ddpD	b1484	-	5
	1559910	1559014		-	ddpC	b1485	-	6
	1560929	1559907		-	ddpB	b1486	-	3
	1562481	1560931		-	ddpA	b1487	-	0
	1563076	1562495		-	ddpX	b1488	-	10
	1565733	1563334		-	dosP	b1489	-	4
	1567140	1565758		-	dosC	b1490	-	8
	1568823	1567504		-	yddW	b1491	-	28
1570522	1570489	1568954	1568954	-	gadC	b1492	-	810
1569215			1569232	+	-	predicted RNA	antisense: gadC	1657
1572065	1572045	1570645	1570531	-	gadB	b1493	-	1097
1570634			1570681	+	-	predicted RNA	antisense: gadB	2026
1571155			1571189	+	-	predicted RNA	antisense: gadB	2135
1571244			1571419	+	-	predicted RNA	antisense: gadB	1954
1571506			1571530	+	-	predicted RNA	antisense: gadB	1969
1571797			1571806	+	-	predicted RNA	antisense: gadB	1767
	1575202	1572407		-	pqqL	b1494	-	5
	1577619	1575247		-	yddB	b1495	-	2
	1579342	1577657		-	yddA	b1496	-	0
	1580790	1579633		-	ydeM	b1497	-	2
	1582524	1580842		-	ydeN	b1498	-	1
	1583687	1582926		-	ydeO	b1499	-	1
	1583959	1583762		-	safA	b1500	-	0
	1586486	1584207		-	ydeP	b1501	-	4
	1587734	1586820		-	ydeQ	b1502	-	0
	1588296	1587793		-	ydeR	b1503	-	0
	1588839	1588309		-	ydeS	b1504	-	0
	1592176	1590854		-	hipA	b1507	-	27
	1592442	1592176		-	hipB	b1508	-	25
	1600209	1598617		-	lsrK	b1511	-	10
	1601241	1600288		-	lsrR	b1512	-	24
	1601490	1603025		+	lsrA	b1513	-	0
	1603019	1604047		+	lsrC	b1514	-	4
	1604047	1605039		+	lsrD	b1515	-	2
	1605051	1606073		+	lsrB	b1516	-	2
	1606100	1606975		+	lsrF	b1517	-	8
	1606999	1607289		+	lsrG	b1518	-	0
	1607346	1608104		+	tam	b1519	-	24
	1609022	1608108		-	yneE	b1520	-	16
	1610680	1609229		-	uxaB	b1521	-	8
	1611854	1610907		-	yneF	b1522	-	4
	1612325	1611966		-	yneG	b1523	-	36
	1613251	1612325		-	glsB	b1524	-	47
	1614703	1613315		-	sad	b1525	-	29
	1614804	1615685		+	yneJ	b1526	-	21
	1615763	1616878		+	yneK	b1527	-	1
	1617028	1618218		+	ydeA	b1528	-	19
	1618908	1618243		-	marC	b1529	-	49
	1619120	1619554		+	marR	b1530	-	6
	1619574	1619957		+	marA	b1531	-	17
	1619989	1620207		+	marB	b1532	-	34
	1621137	1620238		-	eamA	b1533	-	45
	1621332	1622519		+	ydeE	b1534	-	5
	1622646	1622741		+	yneM	b4599	-	13
1622914			1622817	-	mgrR	b4698	-	0
	1623850	1622960		-	dgcZ	b1535	-	14
	1624497	1624105		-	ydeI	b1536	-	3
	1624773	1625291		+	ydeJ	b1537	-	9
	1627380	1625335		-	dcp	b1538	-	119
1627506	1627517	1628263	1628263	+	ydfG	b1539	-	532
	1628352	1629038		+	rspR	b1540	-	77
1629177	1629215	1629418	1629418	+	ydfZ	b1541	-	980
1629423			1629355	-	-	predicted RNA	antisense: ydfZ	8936
	1630913	1629453		-	ydfI	b1542	-	14
	1633072	1633305		+	ydfK	b1544	-	5
	1633622	1634212		+	pinQ	b1545	-	0
	1634885	1634310		-	tfaQ	b1546	-	4
	1635847	1634885		-	stfQ	b1547	-	3
	1636756	1636989		+	ynfO	b4533	-	5
	1637047	1637457		+	ydfO	b1549	-	0
	1637782	1637609		-	gnsB	b1550	-	7
	1638109	1637954		-	ynfN	b1551	-	0
	1638667	1638455		-	cspI	b1552	-	0
	1639527	1639030		-	rzpQ	b1553	-	0
	1639334	1639080		-	rzoQ	b4689	-	0
	1640057	1639524		-	rrrQ	b1554	-	0
	1640365	1640054		-	ydfR	b1555	-	0
	1640585	1640370		-	essQ	b1556	-	12
	1641554	1641339		-	cspB	b1557	-	0
	1641855	1642067		+	cspF	b1558	-	6
	1643241	1642489		-	quuQ	b1559	-	8
	1644304	1643255		-	ydfU	b1560	-	2
	1644902	1644651		-	rem	b1561	-	0
	1645274	1645119		-	hokD	b1562	-	25
	1645633	1645346		-	relE	b1563	-	65
	1645872	1645633		-	relB	b1564	-	149
	1645897	1646202		+	ydfV	b1565	-	7
	1646405	1646737		+	flxA	b1566	-	0
	1647850	1647620		-	dicC	b1569	-	5
	1647934	1648341		+	dicA	b1570	-	13
	1648508	1648663		+	ydfA	b1571	-	0
	1648665	1648793		+	ydfB	b1572	-	0
	1648823	1649041		+	ydfC	b1573	-	5
1649382			1649434	+	dicF	b1574	-	0
	1649609	1649797		+	dicB	b1575	-	14
	1649794	1649985		+	ydfD	b1576	-	0
	1653915	1652896		-	rspB	b1580	-	1
	1655141	1653927		-	rspA	b1581	-	3
	1655673	1655347		-	ynfA	b1582	-	32
	1655808	1656149		+	ynfB	b1583	-	151
	1656184	1656744		+	speG	b1584	-	41
	1657457	1656747		-	ynfC	b1585	-	36
	1657565	1657870		+	ynfD	b1586	-	33
	1658069	1660495		+	ynfE	b1587	-	96
1660532	1660556	1662979	1662979	+	ynfF	b1588	-	228
1662990	1662990	1663607	1663608	+	ynfG	b1589	-	248
	1663609	1664463		+	ynfH	b1590	-	187
	1664506	1665120		+	dmsD	b1591	-	102
	1665315	1666571		+	clcB	b1592	-	18
1667228	1667219	1666524	1666524	-	ynfK	b1593	-	216
	1668564	1667344		-	mlc	b1594	-	46
	1669592	1668699		-	ynfL	b1595	-	5
	1669699	1670952		+	ynfM	b1596	-	10
	1671376	1671684		+	asr	b1597	-	8
	1671777	1671860		+	ydgU	b4601	-	0
	1671960	1672781		+	ydgD	b1598	-	40
	1673149	1672820		-	mdtI	b1599	-	8
	1673501	1673136		-	mdtJ	b1600	-	3
	1673913	1674947		+	tqsA	b1601	-	21
1674971			1675167	+	-	predicted RNA	antisense: pntB	2029
1676360	1676360	1674972	1674972	-	pntB	b1602	-	1462
1675306			1675336	+	-	predicted RNA	antisense: pntB	1848
1675413			1675436	+	-	predicted RNA	antisense: pntB	1926
1675608			1675721	+	-	predicted RNA	antisense: pntB	2233
1675777			1676053	+	-	predicted RNA	antisense: pntB	1829
1677991	1677903	1676371	1676361	-	pntA	b1603	-	1286
1676480			1676539	+	-	predicted RNA	antisense: pntA	2282
1676629			1676751	+	-	predicted RNA	antisense: pntA	1725
1676874			1676944	+	-	predicted RNA	antisense: pntA	2003
1677116			1677218	+	-	predicted RNA	antisense: pntA	1888
1677357			1677517	+	-	predicted RNA	antisense: pntA	1894
1677648			1677759	+	-	predicted RNA	antisense: pntA	1844
1678400	1678427	1679371	1679371	+	ydgH	b1604	-	241
	1679557	1680939		+	ydgI	b1605	-	13
	1680976	1681698		+	folM	b1606	-	30
	1682030	1681695		-	ydgC	b1607	-	6
	1682159	1682878		+	rstA	b1608	-	65
	1682882	1684183		+	rstB	b1609	-	20
	1684259	1685188		+	tus	b1610	-	23
	1686588	1685185		-	fumC	b1611	-	5
	1688377	1686731		-	fumA	b1612	-	12
	1688576	1689751		+	manA	b1613	-	138
	1689852	1691360		+	ydgA	b1614	-	125
	1692851	1691586		-	uidC	b1615	-	1
	1694263	1692890		-	uidB	b1616	-	0
	1696071	1694260		-	uidA	b1617	-	5
	1697052	1696462		-	uidR	b1618	-	17
	1698040	1697273		-	hdhA	b1619	-	131
	1699180	1698152		-	malI	b1620	-	14
	1699355	1700947		+	malX	b1621	-	14
	1700957	1702129		+	malY	b1622	-	19
	1702233	1703234		+	add	b1623	-	26
	1704308	1703268		-	ydgJ	b1624	-	118
	1704551	1704676		+	blr	b4409	-	69
	1704949	1705164		+	cnu	b1625	-	17
	1705250	1705690		+	ydgK	b1626	-	30
	1705767	1706348		+	rsxA	b1627	-	28
	1706348	1706926		+	rsxB	b1628	-	17
	1706919	1709141		+	rsxC	b1629	-	17
	1709142	1710200		+	rsxD	b1630	-	22
	1710204	1710824		+	rsxG	b1631	-	23
	1710828	1711523		+	rsxE	b1632	-	16
	1711523	1712158		+	nth	b1633	-	10
	1712769	1714271		+	dtpA	b1634	-	36
	1714377	1714982		+	gstA	b1635	-	138
	1715889	1715026		-	pdxY	b1636	-	113
1717268	1717222	1715948	1715948	-	tyrS	b1637	-	489
	1718007	1717351		-	pdxH	b1638	-	168
	1718395	1718066		-	mliC	b1639	-	8
	1719602	1718493		-	anmK	b1640	-	52
1719769	1719876	1720343	1720343	+	slyB	b1641	-	1239
1720113			1720088	-	-	predicted RNA	antisense: slyB	2011
1720339			1720183	-	-	predicted RNA	antisense: slyB	2180
	1720824	1720390		-	slyA	b1642	-	114
	1721025	1721261		+	ydhI	b1643	-	21
	1721264	1722121		+	ydhJ	b1644	-	15
	1722121	1724133		+	ydhK	b1645	-	5
	1724655	1724134		-	sodC	b1646	-	33
	1725632	1724736		-	ydhF	b1647	-	82
	1725920	1725681		-	ydhL	b1648	-	10
	1726023	1726622		+	nemR	b1649	-	6
	1726659	1727756		+	nemA	b1650	-	32
	1727837	1728244		+	gloA	b1651	-	124
	1728347	1728994		+	rnt	b1652	-	29
	1729087	1733703		+	lhr	b1653	-	17
	1734101	1733754		-	grxD	b1654	-	144
	1734435	1735250		+	mepH	b1655	-	31
1735344	1735378	1735959	1735959	+	sodB	b1656	-	1091
1735622			1735585	-	-	predicted RNA	antisense: sodB	2527
1735862			1735825	-	-	predicted RNA	antisense: sodB	2168
1736077			1736042	-	-	predicted RNA	-	2574
	1737290	1736121		-	ydhP	b1657	-	16
	1737545	1737456		-	ynhF	b4602	-	0
1737707	1737844	1738869	1738869	+	purR	b1658	-	213
	1739798	1738866		-	ydhB	b1659	-	37
	1739911	1741122		+	ydhC	b1660	-	19
1741408	1741413	1742561	1742561	+	cfa	b1661	-	649
1742130			1742082	-	-	predicted RNA	antisense: cfa	2345
	1743242	1742601		-	ribC	b1662	-	173
	1743457	1744830		+	mdtK	b1663	-	64
	1746127	1744871		-	ydhQ	b1664	-	147
1746435			1746511	+	valV	b1665	-	17
1746516			1746592	+	valW	b1666	-	0
	1746700	1747005		+	ydhR	b1667	-	149
	1747131	1748735		+	ydhS	b1668	-	19
	1749559	1748747		-	ydhT	b1669	-	13
	1750348	1749563		-	ydhU	b1670	-	12
	1751013	1750345		-	ydhX	b1671	-	3
	1751724	1751077		-	ydhW	b1672	-	13
	1753830	1751728		-	ydhV	b1673	-	8
	1754477	1753851		-	ydhY	b1674	-	10
	1755141	1754932		-	ydhZ	b1675	-	21
1755674	1755698	1757110	1757110	+	pykF	b1676	-	849
1755978			1755943	-	-	predicted RNA	antisense: pykF	2337
1756430			1756420	-	-	predicted RNA	antisense: pykF	1862
1756914			1756861	-	-	predicted RNA	antisense: pykF	1834
